"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-25"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"1400","서울특별시 용산구 용문동","집합","49-2","효창원로42길","제2종일반주거","제2종근린생활","8m미만","8.71"," ","10,000","3","개인","개인","202604","27","","","-","중개거래","서울 용산구"
"1401","서울특별시 용산구 용문동","집합","49-2","효창원로42길","제2종일반주거","제2종근린생활","8m미만","8.58"," ","10,000","3","개인","개인","202604","27","","","-","중개거래","서울 용산구"
"1402","서울특별시 용산구 용문동","집합","49-2","효창원로42길","제2종일반주거","제2종근린생활","8m미만","8.20"," ","10,000","3","개인","개인","202604","27","","","-","중개거래","서울 용산구"
"1403","서울특별시 용산구 용문동","집합","49-2","효창원로42길","제2종일반주거","제2종근린생활","8m미만","18.20"," ","12,000","4","개인","개인","202604","27","","","-","중개거래","서울 용산구"
"1404","서울특별시 송파구 잠실동","집합","294-6","백제고분로12길","제3종일반주거","제2종근린생활","8m미만","38.39"," ","45,000","2","개인","개인","202604","27","","2015","-","중개거래","서울 송파구"
"1405","서울특별시 구로구 개봉동","집합","33-35","고척로21나길","제2종일반주거","제2종근린생활","8m미만","7.00"," ","2,300","1","개인","개인","202604","27","지분","2018","-","직거래","-"
"1406","서울특별시 마포구 상수동","일반","3**","와우산로3안길","제2종일반주거","제2종근린생활","8m미만","163.64","169.00","320,000","","법인","개인","202604","27","","1974","-","중개거래","서울 마포구"
"1407","서울특별시 송파구 오금동","집합","2","위례성대로","제3종일반주거","제2종근린생활","25m이상","27.86"," ","45,000","2","개인","법인","202604","27","","1988","-","중개거래","서울 강남구"
"1408","서울특별시 종로구 원서동","일반","7*","창덕궁길","제1종일반주거","제1종근린생활","12m미만","293.58","100.80","242,616","","개인","개인","202604","27","","1994","-","중개거래","서울 종로구"
"1409","서울특별시 종로구 원남동","일반","2**","창경궁로21가길","일반상업","제1종근린생활","8m미만","16.53","39.70","25,000","","개인","개인","202604","27","","","-","직거래","-"
"1410","서울특별시 강남구 논현동","집합","182","봉은사로1길","제2종일반주거","제2종근린생활","12m미만","142.66"," ","352,963","2","법인","개인","202604","27","","1997","-","중개거래","서울 강남구"
"1411","서울특별시 강남구 논현동","집합","182","봉은사로1길","제2종일반주거","제2종근린생활","12m미만","82.57"," ","209,447","1","법인","개인","202604","27","","1997","-","중개거래","서울 강남구"
"1412","서울특별시 강남구 논현동","집합","182","봉은사로1길","제2종일반주거","제2종근린생활","12m미만","178.21"," ","466,759","","법인","개인","202604","27","","1997","-","중개거래","서울 강남구"
"1413","서울특별시 강남구 논현동","일반","1**","논현로","제3종일반주거","숙박","25m이상","6373.01","1942.40","9,500,000","","법인","법인","202604","27","","1985","-","직거래","-"
"1414","서울특별시 양천구 신정동","집합","321-6","목동서로","일반상업","교육연구","25m이상","60.95"," ","49,000","3","법인","개인","202604","27","","2006","-","중개거래","서울 양천구"
"1415","서울특별시 강동구 암사동","집합","502-6","상암로","준주거","제1종근린생활","25m미만","59.10"," ","43,500","1","개인","개인","202604","27","","2004","-","직거래","-"
"1416","서울특별시 강동구 암사동","일반","4**","고덕로","제3종일반주거","제1종근린생활","25m이상","3317.00","845.90","1,370,000","","법인","법인","202604","27","","2024","-","중개거래","서울 서초구"
"1417","서울특별시 구로구 구로동","일반","3**","구로동로26길","제2종일반주거","제1종근린생활","12m미만","164.26","87.00","196,000","","개인","개인","202604","27","","1983","-","중개거래","서울 구로구"
"1418","서울특별시 구로구 구로동","집합","636-62","경인로54길","준공업","판매","25m이상","17.10"," ","9,500","","개인","개인","202604","27","","","-","중개거래","서울 구로구, 서울 도봉구"
"1419","서울특별시 중구 필동1가","집합","43-1","충무로","일반상업","숙박","25m이상","21.22"," ","49,500","5","법인","개인","202604","27","","2023","-","중개거래","서울 중구"
"1420","서울특별시 도봉구 도봉동","집합","615-4","시루봉로27나길","제2종일반주거","제2종근린생활","8m미만","14.02"," ","5,000","1","개인","개인","202604","27","","2008","-","중개거래","서울 도봉구"
"1421","서울특별시 강남구 청담동","집합","132-16","학동로101길","제3종일반주거","제2종근린생활","8m미만","30.85"," ","101,500","2","개인","개인","202604","27","","2023","-","중개거래","서울 강남구"
"1422","서울특별시 서초구 양재동","일반","3**","언남10길","제2종일반주거","제2종근린생활","12m미만","949.92","324.00","745,000","","법인","법인","202604","27","","1992","-","중개거래","서울 서초구"
"1423","서울특별시 강북구 수유동","집합","553-61","인수봉로72길","제2종일반주거","제2종근린생활","25m미만","79.99"," ","16,000","3","기타","개인","202604","27","","1992","-","직거래","-"
"1424","서울특별시 강북구 수유동","집합","553-61","인수봉로72길","제2종일반주거","제2종근린생활","25m미만","57.24"," ","10,000","3","기타","개인","202604","27","","1992","-","직거래","-"
"1425","서울특별시 강서구 화곡동","집합","1008-26","강서로45길","제2종일반주거","교육연구","25m미만","261.74"," ","250,000","1","법인","개인","202604","26","","2000","-","중개거래","서울 강서구"
"1426","서울특별시 동대문구 청량리동","집합","235-4","왕산로","일반상업","기타","25m이상","104.60"," ","74,000","","개인","개인","202604","26","","1978","-","중개거래","서울 동대문구"
"1427","서울특별시 강남구 신사동","집합","617-5","언주로","제3종일반주거","제1종근린생활","25m이상","40.56"," ","200,000","1","개인","개인","202604","25","","1985","-","직거래","-"
"1428","서울특별시 종로구 경운동","집합","91-1","삼일대로","일반상업","제2종근린생활","25m이상","42.35"," ","5,000","","개인","개인","202604","25","지분","1993","-","중개거래","서울 중구"
"1429","서울특별시 용산구 한강로2가","집합","15-47","","일반상업","판매","12m미만","16.68"," ","38,500","12","개인","개인","202604","25","","","-","중개거래","서울 용산구"
"1430","서울특별시 은평구 대조동","집합","240","불광로","일반상업","판매","25m이상","4.97"," ","2,200","","개인","개인","202604","25","","2005","-","중개거래","서울 은평구"
"1431","서울특별시 강남구 일원동","집합","711-1","양재대로55길","제2종일반주거","제2종근린생활","25m미만","16.81"," ","46,000","1","법인","법인","202604","25","","1992","-","중개거래","서울 강남구"
"1432","서울특별시 서대문구 홍은동","일반","4*","세검정로1길","제2종일반주거","제2종근린생활","12m미만","39.66","20.00","21,900","","개인","개인","202604","25","","1966","-","중개거래","서울 서대문구"
"1433","서울특별시 강동구 길동","집합","474","천호대로199길","제3종일반주거","제1종근린생활","25m이상","25.20"," ","43,000","1","개인","개인","202604","25","","2003","-","중개거래","서울 강동구"
"1434","서울특별시 강남구 신사동","집합","617-5","언주로","제3종일반주거","제1종근린생활","25m이상","91.82"," ","650,000","1","개인","개인","202604","25","","1985","-","직거래","-"
"1435","서울특별시 구로구 구로동","집합","454","구로동로42길","제2종일반주거","제2종근린생활","8m미만","30.40"," ","9,857","3","개인","개인","202604","25","","2007","-","직거래","-"
"1436","서울특별시 양천구 목동","집합","925","목동로","제1종일반주거","제1종근린생활","25m이상","10.58"," ","58,000","3","개인","개인","202604","25","","1988","-","중개거래","경기 성남시 분당구"
"1437","서울특별시 중구 충무로4가","집합","308","충무로2길","일반상업","숙박","12m미만","26.46"," ","29,900","","개인","개인","202604","25","","2023","-","중개거래","서울 중구"
"1438","서울특별시 종로구 누하동","일반","1**","필운대로5길","제1종일반주거","제2종근린생활","8m미만","273.41","150.80","322,162","","법인","개인","202604","24","","2021","-","중개거래","서울 종로구"
"1439","서울특별시 용산구 한강로3가","일반","6*","한강대로14가길","제2종일반주거","제2종근린생활","8m미만","47.27","94.90","315,000","","개인","개인","202604","24","","1959","-","중개거래","서울 용산구"
"1440","서울특별시 종로구 누하동","일반","1**","필운대로5길","제1종일반주거","제2종근린생활","8m미만","273.41","150.80","327,500","","법인","개인","202604","24","","2021","20260506","중개거래","서울 종로구"
"1441","서울특별시 성동구 성수동1가","일반","6**","서울숲2길","제2종일반주거","제2종근린생활","8m미만","308.83","155.00","745,000","","개인","법인","202604","24","","2004","20260622","중개거래","서울 강남구"
"1442","서울특별시 서대문구 창천동","집합","31-80","명물길","제2종일반주거","제1종근린생활","25m미만","5.29"," ","3,200","2","개인","개인","202604","24","","1993","-","중개거래","경기 안산시 단원구"
"1443","서울특별시 서초구 방배동","집합","1038","효령로","제3종일반주거","제1종근린생활","25m이상","7.00"," ","29,000","","개인","법인","202604","24","","1992","-","중개거래","서울 강남구, 서울 송파구"
"1444","서울특별시 구로구 고척동","집합","103-4","경인로43길","준공업","판매","25m미만","18.00"," ","29,000","","개인","개인","202604","24","","1986","-","중개거래","서울 구로구"
"1445","서울특별시 노원구 중계동","일반","5**","동일로203가길","일반상업","판매","25m미만","53.45","7.54","12,500","","개인","개인","202604","24","지분","1991","-","직거래","-"
"1446","서울특별시 용산구 원효로2가","집합","80-15","새창로35길","제3종일반주거","제2종근린생활","8m미만","7.20"," ","29,000","2","개인","법인","202604","24","","1988","-","중개거래","서울 용산구"
"1447","서울특별시 강남구 역삼동","집합","684-7","선릉로107길","제2종일반주거","제1종근린생활","12m미만","39.00"," ","58,288","","법인","법인","202604","24","","2012","-","직거래","-"
"1448","서울특별시 마포구 서교동","일반","4**","월드컵북로5나길","제2종일반주거","제2종근린생활","8m미만","631.71","241.30","639,000","","법인","개인","202604","24","","2018","-","중개거래","서울 강남구"
"1449","서울특별시 중랑구 망우동","일반","4**","용마산로113길","제2종일반주거","제2종근린생활","8m미만","159.34","86.60","39,000","","개인","개인","202604","24","","1991","-","중개거래","서울 중랑구"
"1450","서울특별시 영등포구 양평동5가","집합","76","양평로24길","준공업","제2종근린생활","25m미만","18.36"," ","10,000","","개인","개인","202604","24","","1996","-","중개거래","서울 영등포구"
"1451","서울특별시 양천구 신월동","집합","94-9","가로공원로","제3종일반주거","제2종근린생활","25m이상","31.68"," ","7,260","","개인","법인","202604","24","","1996","-","직거래","-"
"1452","서울특별시 용산구 원효로2가","일반","3*","원효로","제3종일반주거","제1종근린생활","25m이상","99.66","66.40","240,000","","법인","개인","202604","24","","1993","-","중개거래","서울 용산구"
"1453","서울특별시 마포구 도화동","집합","536","토정로37길","일반상업","제1종근린생활","25m미만","26.16"," ","21,500","","개인","개인","202604","24","","1983","-","중개거래","서울 마포구"
"1454","서울특별시 용산구 서계동","집합","36","청파로85길","제2종일반주거","제1종근린생활","8m미만","34.91"," ","55,000","3","개인","개인","202604","24","","2007","-","중개거래","서울 마포구, 서울 용산구"
"1455","서울특별시 강서구 마곡동","집합","797-11","마곡중앙6로","일반상업","숙박","25m미만","35.36"," ","24,000","14","개인","개인","202604","24","","2015","-","직거래","-"
"1456","서울특별시 서대문구 창천동","일반","*","명물길","제3종일반주거","제1종근린생활","8m미만","184.56","89.30","211,000","","법인","법인","202604","24","","1993","-","직거래","-"
"1457","서울특별시 영등포구 영등포동3가","집합","9-13","영중로","일반상업","제1종근린생활","25m이상","4.96"," ","6,500","10","개인","개인","202604","24","","2005","-","직거래","-"
"1458","서울특별시 강동구 길동","일반","4**","양재대로","제3종일반주거","제1종근린생활","25m이상","2078.40","942.60","2,000,000","","개인","개인","202604","24","","1991","-","중개거래","서울 강남구, 서울 서초구"
"1459","서울특별시 강동구 천호동","집합","401-5","구천면로","제2종일반주거","제1종근린생활","25m미만","35.49"," ","19,250","1","법인","개인","202604","24","","2015","-","중개거래","서울 송파구"
"1460","서울특별시 강동구 성내동","집합","547","성내로","제3종일반주거","제2종근린생활","25m미만","33.10"," ","30,000","","법인","개인","202604","24","","1983","-","중개거래","서울 강동구"
"1461","서울특별시 중구 충무로4가","집합","120-3","퇴계로","일반상업","판매","25m이상","16.11"," ","7,000","","개인","개인","202604","24","","","-","중개거래","서울 중구"
"1462","서울특별시 중구 충무로4가","집합","120-3","퇴계로","일반상업","판매","25m이상","13.66"," ","6,000","","개인","개인","202604","24","","","-","중개거래","서울 중구"
"1463","서울특별시 강남구 청담동","집합","131-14","영동대로138길","제3종일반주거","제2종근린생활","25m미만","37.02"," ","35,000","","법인","개인","202604","24","","","-","중개거래","서울 강남구"
"1464","서울특별시 중구 충무로4가","집합","120-3","퇴계로","일반상업","판매","25m이상","16.11"," ","7,000","","개인","개인","202604","24","","1970","20260427","중개거래","서울 중구"
"1465","서울특별시 강남구 논현동","일반","7*","도산대로30길","제2종일반주거","제2종근린생활","8m미만","562.44","184.10","900,000","","법인","법인","202604","24","","2022","-","중개거래","서울 강남구"
"1466","서울특별시 강서구 마곡동","집합","797-12","마곡동로4길","일반상업","숙박","25m미만","20.68"," ","13,500","14","개인","개인","202604","24","","2017","-","중개거래","서울 강서구"
"1467","서울특별시 영등포구 영등포동3가","집합","9-13","영중로","일반상업","판매","25m이상","4.96"," ","6,500","10","개인","개인","202604","24","","2005","-","직거래","-"
"1468","서울특별시 중구 충무로4가","집합","120-3","퇴계로","일반상업","판매","25m이상","13.66"," ","6,000","","개인","개인","202604","24","","","20260427","중개거래","서울 중구"
"1469","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,600","","법인","개인","202604","24","","1976","-","직거래","-"
"1470","서울특별시 종로구 종로5가","일반","1**","대학로1길","일반상업","제2종근린생활","8m미만","36.45","82.60","190,000","","법인","개인","202604","23","","","-","중개거래","서울 종로구"
"1471","서울특별시 영등포구 신길동","집합","340-1","신길로23길","제2종일반주거","판매","12m미만","20.40"," ","37,000","1","개인","개인","202604","23","지분","1981","-","직거래","-"
"1472","서울특별시 영등포구 문래동3가","집합","77-13","문래로","준공업","제1종근린생활","25m미만","38.64"," ","55,000","1","개인","개인","202604","23","","2003","-","직거래","-"
"1473","서울특별시 서초구 서초동","집합","1685-3","서초중앙로","일반상업","판매","25m이상","33.25"," ","22,500","","개인","개인","202604","23","","2004","-","중개거래","서울 서초구"
"1474","서울특별시 양천구 목동","집합","925","목동로","제1종일반주거","제1종근린생활","25m이상","10.58"," ","58,000","","개인","개인","202604","23","","1988","-","중개거래","경기 성남시 분당구"
"1475","서울특별시 용산구 도원동","집합","28","","제3종일반주거","제2종근린생활","25m미만","27.72"," ","18,000","2","개인","개인","202604","23","","2001","-","중개거래","서울 용산구"
"1476","서울특별시 강서구 마곡동","집합","782-3","마곡중앙8로5길","준공업","제2종근린생활","25m미만","31.64"," ","92,366","1","법인","법인","202604","23","","2025","20260507","직거래","-"
"1477","서울특별시 강서구 마곡동","집합","782-3","마곡중앙8로5길","준공업","제2종근린생활","25m미만","31.96"," ","94,330","1","법인","법인","202604","23","","2025","20260507","직거래","-"
"1478","서울특별시 강남구 대치동","일반","1***","영동대로76길","제3종일반주거","제1종근린생활","8m미만","686.88","228.20","1,150,000","","법인","개인","202604","23","","1989","-","중개거래","서울 강남구"
"1479","서울특별시 광진구 자양동","일반","5**","능동로6길","준주거","제1종근린생활","12m미만","621.21","231.00","210,000","","개인","개인","202604","23","","1989","-","직거래","-"
"1480","서울특별시 광진구 자양동","일반","2**","아차산로","준주거","제2종근린생활","25m이상","94.05","252.90","280,000","","개인","개인","202604","23","지분","1994","-","직거래","-"
"1481","서울특별시 동작구 노량진동","일반","2**","만양로14아길","제2종일반주거","제1종근린생활","8m미만","30.56","7.00","19,000","1","법인","법인","202604","23","","","-","중개거래","서울 동작구"
"1482","서울특별시 관악구 신림동","일반","2**","대학14길","제2종일반주거","제2종근린생활","8m미만","356.31","165.00","83,000","","개인","개인","202604","23","","1992","-","중개거래","서울 용산구"
"1483","서울특별시 영등포구 영등포동5가","집합","24","영등포로37길","일반상업","제2종근린생활","8m미만","12.10"," ","41,000","","개인","개인","202604","23","","1971","-","중개거래","서울 영등포구"
"1484","서울특별시 용산구 신계동","집합","12-21","새창로45길","제2종일반주거","제2종근린생활","8m미만","30.25"," ","142,667","1","법인","개인","202604","23","","","-","중개거래","서울 용산구"
"1485","서울특별시 용산구 신계동","집합","12-21","새창로45길","제2종일반주거","제2종근린생활","8m미만","30.25"," ","142,667","1","법인","개인","202604","23","","2007","-","중개거래","서울 용산구"
"1486","서울특별시 용산구 신계동","집합","12-21","새창로45길","제2종일반주거","제2종근린생활","8m미만","71.15"," ","142,667","2","법인","개인","202604","23","","2007","-","중개거래","서울 용산구"
"1487","서울특별시 용산구 신계동","집합","12-21","새창로45길","제2종일반주거","제2종근린생활","8m미만","86.00"," ","142,667","2","법인","개인","202604","23","","2007","-","중개거래","서울 용산구"
"1488","서울특별시 용산구 신계동","집합","12-21","새창로45길","제2종일반주거","제2종근린생활","8m미만","54.30"," ","142,667","1","법인","개인","202604","23","","2007","-","중개거래","서울 용산구"
"1489","서울특별시 용산구 신계동","집합","12-21","새창로45길","제2종일반주거","제2종근린생활","8m미만","55.35"," ","142,667","1","법인","개인","202604","23","","2007","-","중개거래","서울 용산구"
"1490","서울특별시 노원구 중계동","일반","5**","동일로203가길","일반상업","판매","25m미만","33.06","4.66","2,400","","법인","개인","202604","23","지분","","-","직거래","-"
"1491","서울특별시 강서구 마곡동","집합","782-3","마곡중앙8로5길","준공업","제2종근린생활","25m미만","31.96"," ","94,330","1","법인","법인","202604","23","","2025","-","직거래","-"
"1492","서울특별시 광진구 구의동","일반","2*","영화사로","제1종일반주거","제1종근린생활","25m미만","444.00","204.30","158,000","","법인","개인","202604","23","","","-","중개거래","서울 광진구"
"1493","서울특별시 구로구 신도림동","집합","432-1","경인로","준주거","업무","25m이상","86.17"," ","86,000","15","개인","개인","202604","23","","","-","중개거래","서울 구로구"
"1494","서울특별시 중구 신당동","집합","202-1","","일반상업","판매","25m이상","5.76"," ","3,500","","개인","개인","202604","23","","","-","직거래","-"
"1495","서울특별시 강서구 마곡동","집합","782-3","마곡중앙8로5길","준공업","제2종근린생활","25m미만","31.64"," ","92,366","1","법인","법인","202604","23","","2025","-","직거래","-"
"1496","서울특별시 동대문구 이문동","일반","2**","천장산로7길","제2종일반주거","제2종근린생활","12m미만","1075.55","321.00","480,000","","개인","개인","202604","23","","1997","-","직거래","-"
"1497","서울특별시 강서구 마곡동","집합","782-3","마곡중앙8로5길","준공업","제2종근린생활","25m미만","30.60"," ","91,304","1","법인","법인","202604","23","","2025","-","직거래","-"
"1498","서울특별시 마포구 마포동","집합","136-1","마포대로","준주거","업무","25m이상","34.96"," ","22,000","","개인","개인","202604","23","","1987","-","직거래","-"
"1499","서울특별시 서초구 서초동","집합","1601-2","효령로55길","일반상업","업무","12m미만","24.15"," ","14,400","11","개인","개인","202604","23","","1999","-","중개거래","서울 서초구"
"1500","서울특별시 중랑구 면목동","집합","87-64","상봉로15가길","제3종일반주거","제2종근린생활","8m미만","48.96"," ","42,900","3","개인","개인","202604","23","","2021","-","중개거래","서울 중랑구"
"1501","서울특별시 종로구 창신동","집합","328-18","지봉로","일반상업","판매","25m이상","8.41"," ","5,858","","개인","법인","202604","23","","1997","-","직거래","-"
"1502","서울특별시 서대문구 창천동","일반","1**","신촌로7길","제1종일반주거","제2종근린생활","8m미만","206.74","110.00","104,000","","개인","개인","202604","23","지분","2011","-","중개거래","서울 중구"
"1503","서울특별시 서초구 서초동","집합","1599-2","반포대로14길","일반상업","제1종근린생활","25m이상","10.82"," ","15,800","1","개인","개인","202604","23","지분","2004","-","직거래","-"
"1504","서울특별시 서초구 서초동","집합","1302-1","서운로","제3종일반주거","업무","25m이상","90.42"," ","82,610","","개인","법인","202604","23","","1988","-","직거래","-"
"1505","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.20"," ","6,000","","법인","개인","202604","23","","1976","-","직거래","-"
"1506","서울특별시 중구 충무로4가","일반","1**","","일반상업","제1종근린생활","8m미만","52.83","86.00","247,194","","법인","개인","202604","23","","1962","-","직거래","-"
"1507","서울특별시 중구 충무로4가","일반","1**","퇴계로","일반상업","제1종근린생활","8m미만","66.12","131.20","376,906","","법인","개인","202604","23","","","-","직거래","-"
"1508","서울특별시 용산구 남영동","일반","3*","한강대로84길","제2종일반주거","제1종근린생활","8m미만","34.74","36.40","172,566","","개인","법인","202604","23","지분","1961","-","중개거래","서울 용산구"
"1509","서울특별시 용산구 남영동","일반","3*","한강대로84길","제2종일반주거","제2종근린생활","8m미만","9.55","10.00","47,434","","개인","법인","202604","23","지분","1961","-","중개거래","서울 용산구"
"1510","서울특별시 강서구 마곡동","집합","782-3","마곡중앙8로5길","준공업","제2종근린생활","25m미만","30.60"," ","91,304","1","법인","법인","202604","23","","2025","20260507","직거래","-"
"1511","서울특별시 영등포구 영등포동3가","집합","9-13","영중로","일반상업","판매","25m이상","4.96"," ","3,100","","개인","개인","202604","23","","2005","-","직거래","-"
"1512","서울특별시 영등포구 문래동5가","집합","2","선유로","준공업","제2종근린생활","25m이상","30.50"," ","6,000","","개인","개인","202604","23","","1992","-","중개거래","서울 영등포구"
"1513","서울특별시 중구 을지로7가","집합","105","을지로","일반상업","판매","25m이상","3.96"," ","7,000","40","개인","개인","202604","23","","2006","-","직거래","-"
"1514","서울특별시 서초구 잠원동","집합","56-3","잠원로8길","제3종일반주거","제2종근린생활","25m이상","14.00"," ","65,000","","개인","법인","202604","23","","1992","-","중개거래","서울 강남구"
"1515","서울특별시 서초구 반포동","집합","19-1","신반포로","일반상업","판매","25m이상","10.38"," ","14,500","","개인","개인","202604","23","지분","1979","-","직거래","-"
"1516","서울특별시 용산구 한남동","일반","7**","한남대로28가길","제1종일반주거","제2종근린생활","8m미만","274.08","155.00","530,000","","법인","개인","202604","23","","1980","-","중개거래","서울 강남구"
"1517","서울특별시 도봉구 창동","집합","6","마들로11가길","일반상업","제2종근린생활","12m미만","8.75"," ","1,550","","개인","개인","202604","23","","1990","-","직거래","-"
"1518","서울특별시 은평구 역촌동","일반","8*","연서로","제3종일반주거","제2종근린생활","25m이상","525.81","283.70","290,000","","법인","개인","202604","22","","1984","-","중개거래","서울 강남구"
"1519","서울특별시 송파구 송파동","일반","1**","송파대로36길","제2종일반주거","제1종근린생활","8m미만","393.74","157.30","247,500","","법인","개인","202604","22","","1990","-","중개거래","서울 중구"
"1520","서울특별시 서초구 양재동","일반","3**","언남길","제2종일반주거","제1종근린생활","25m미만","845.22","276.20","660,000","","법인","법인","202604","22","","1989","-","중개거래","서울 강남구, 서울 서초구"
"1521","서울특별시 강북구 미아동","일반","3**","도봉로","제3종일반주거","업무","25m이상","1146.00","543.10","901,830","","법인","법인","202604","22","","1985","-","직거래","-"
"1522","서울특별시 도봉구 방학동","일반","7**","방학로","준공업","제2종근린생활","12m미만","12746.78","5676.60","4,893,160","","법인","법인","202604","22","","1981","-","직거래","-"
"1523","서울특별시 영등포구 영등포동7가","집합","208","국회대로50길","일반상업","업무","25m이상","75.63"," ","68,000","4","개인","법인","202604","22","","2020","-","중개거래","서울 영등포구"
"1524","서울특별시 중랑구 신내동","집합","666","봉화산로","일반상업","판매","25m이상","38.54"," ","7,100","","개인","개인","202604","22","","1999","-","직거래","-"
"1525","서울특별시 송파구 석촌동","일반","2**","송파대로","제3종일반주거","제1종근린생활","25m이상","99.08","38.82","83,000","","법인","개인","202604","22","지분","1983","-","중개거래","경기 하남시"
"1526","서울특별시 중랑구 신내동","집합","666","봉화산로","일반상업","판매","25m이상","31.98"," ","6,400","","개인","개인","202604","22","","1999","-","직거래","-"
"1527","서울특별시 중구 신당동","집합","844","다산로","제3종일반주거","제1종근린생활","25m이상","13.60"," ","9,000","4","개인","개인","202604","22","","2002","-","중개거래","서울 중구"
"1528","서울특별시 중구 신당동","집합","844","다산로","제3종일반주거","제1종근린생활","25m이상","13.60"," ","9,000","4","개인","개인","202604","22","","2002","-","중개거래","서울 중구"
"1529","서울특별시 마포구 신수동","집합","62-15","대흥로11길","제2종일반주거","제2종근린생활","8m미만","32.90"," ","16,000","1","개인","법인","202604","22","","2025","-","직거래","-"
"1530","서울특별시 마포구 창전동","일반","*","와우산로30길","제2종일반주거","제1종근린생활","8m미만","1377.73","397.00","865,000","","법인","개인","202604","22","","1991","-","중개거래","경기 부천시 원미구, 서울 마포구"
"1531","서울특별시 종로구 계동","일반","1**","창덕궁1길","준주거","제1종근린생활","25m미만","51.70","67.90","230,000","","법인","개인","202604","22","","","-","직거래","-"
"1532","서울특별시 마포구 동교동","일반","1**","양화로23길","제2종일반주거","제2종근린생활","8m미만","474.89","499.80","1,600,000","","법인","법인","202604","22","","","-","중개거래","서울 마포구"
"1533","서울특별시 종로구 창신동","집합","23-76","지봉로","제2종일반주거","판매","25m이상","28.15"," ","26,000","1","개인","개인","202604","22","","2006","-","중개거래","서울 종로구"
"1534","서울특별시 양천구 신정동","집합","118-11","신목로6길","제2종일반주거","제2종근린생활","8m미만","10.58"," ","13,500","","개인","개인","202604","22","","","-","중개거래","서울 양천구"
"1535","서울특별시 양천구 신정동","집합","118-11","신목로6길","제2종일반주거","제2종근린생활","8m미만","10.58"," ","13,500","","개인","개인","202604","22","","","-","중개거래","서울 양천구"
"1536","서울특별시 강남구 대치동","일반","9**","도곡로63길","제2종일반주거","제2종근린생활","12m미만","351.21","277.40","1,150,000","","개인","개인","202604","22","","2011","20260612","중개거래","서울 강남구"
"1537","서울특별시 동작구 사당동","집합","169-8","사당로23길","제3종일반주거","판매","25m미만","22.50"," ","30,300","","개인","개인","202604","22","","1990","-","중개거래","서울 동작구"
"1538","서울특별시 강동구 성내동","일반","1**","천호대로","근린상업","업무","25m이상","4963.39","985.00","5,104,010","","법인","법인","202604","22","","1997","-","직거래","-"
"1539","서울특별시 강동구 천호동","집합","431-5","올림픽로","일반상업","제1종근린생활","25m이상","55.51"," ","86,667","2","법인","개인","202604","22","","2004","-","중개거래","서울 강남구"
"1540","서울특별시 강동구 천호동","집합","431-5","올림픽로","일반상업","제1종근린생활","25m이상","81.16"," ","86,667","2","법인","개인","202604","22","","2004","-","중개거래","서울 강남구"
"1541","서울특별시 강동구 천호동","집합","431-5","올림픽로","일반상업","제1종근린생활","25m이상","93.33"," ","86,667","2","법인","개인","202604","22","","2004","-","중개거래","서울 강남구"
"1542","서울특별시 동작구 사당동","집합","272-26","사당로16나길","제2종일반주거","제1종근린생활","8m미만","25.00"," ","37,000","1","개인","개인","202604","22","","2024","-","직거래","-"
"1543","서울특별시 중랑구 상봉동","집합","129-19","망우로36길","준주거","제1종근린생활","25m미만","58.31"," ","46,000","1","개인","개인","202604","22","","2016","-","중개거래","서울 중랑구"
"1544","서울특별시 중랑구 면목동","일반","7*","상봉로","제3종일반주거","제1종근린생활","25m이상","287.92","145.10","175,000","","개인","개인","202604","22","","1982","-","중개거래","서울 마포구"
"1545","서울특별시 송파구 방이동","집합","212-8","오금로31길","제3종일반주거","제1종근린생활","25m미만","4.23"," ","2,500","1","개인","개인","202604","21","","1991","-","직거래","-"
"1546","서울특별시 중구 충무로3가","일반","5*","퇴계로31길","일반상업","제2종근린생활","12m미만","68.58","11.28","23,000","","개인","개인","202604","21","지분","1969","-","중개거래","서울 중구"
